contentid,overview,homepage,addr1,cat1,cat2,cat3,firstimage,mapx,mapy,title,sigungu
126249,"전북 순창군 팔덕면 청계리 996번지 일대에 위용을 자랑하고 있는 강천산은 왕자봉(해발583.7m)과 광덕산 선녀봉(해발578m)을 비롯하여 산성산 연대봉(해발603m)을 중심으로 세 개의 산 사이로 병풍을 둘러치듯이 남록과 북록으로 나뉘어 작은 협곡을 이루고 있으며, 사방이 모두 바위산으로 빼어난 아름다움을 간직한 자랑스러운 산이다. 골짜기마다 단단한 암반 위로 깨끗하고 맑은 물이 샘처럼 솟아 흐른다하여 강천이라 불렀고 그 주변의 모든 산을 강천산이라 하였다. 예전에는 용천산(龍泉山)이라 불렀다고 한다. 두 마리의 용이 하늘을 향해 꼬리를 치며 승천하는 형상이라 지어진 이름이다.<br /><br />노령산맥에서 추월산을 이어 광덕산과 용천산을 이루고 강천의 진산으로 하늘높이 우뚝 솟은 산성산(두 마리의 용이 동쪽하늘에서 서쪽하늘로)에서 두 마리의 용이 나란히 수 십리를 동으로 달린다. 그 속에 수많은 봉우리들 있는데 이름 있는 봉우리만 말하면 연대봉, 운대봉, 수령봉, 천자봉, 깃대봉, 왕자봉, 견제봉, 송락봉 등이다. 그야말로 천봉, 만학, 기암, 괴석이 천태만상이고 거기에 우거진 천연림은 태고를 자랑하듯이 바람만이 물결을 이루고 있다. 이 두 산속 가운데는 수 십리 깊은 계곡이 있다. 이름 있는 계곡만 말하면 연대계곡, 선녀계곡(저부제골), 원등계곡(용대암골), 분통골, 지적골, 소목골, 삼인대계곡(황우제골), 기우제골, 세냥골, 물통골, 초당골, 우작골, 동막골, 금강계곡(탑상골), 승방골, 변두골 등 이다. 골골마다 발원하여 흐르는 맑은 물이 중천으로 합류하여 바위와 바위, 돌과 돌에 부딪히는 물소리는 계곡을 울리며 강천호로 들어간다.<br /><br />시냇가에 봄이 오면 버들강아지 피어오르고 개나리, 진달래꽃 만발할 때쯤이면 산봉우리마다 산벚꽃이 한창이다. 십오리가 넘는 계곡길을 따라 자갈과 자갈사이를 맑고 깨끗한 물에 쉴세 없이 흘러내린다. 너무나 차가워서 인지 맑아서인지 이끼가 끼지 않는다는 강천수로 한여름이 더위를 식혀본다. 유달리 잡목과 단풍나무가 많은 강천산은 일곱 가지나 되는 단풍(나무)속에서 애기단풍과 애기다람쥐가 가을의 정취를 더한다. 산세가 가파르거나 위험하지 않는 여러 갈래의 소로길은 가족이나 친구, 연인들이 즐겨 찾는다. 또한 산을 좋아하고 산을 사랑하는 등산객의 산행에도 안성맞춤이다. 백설이 휘날리며 고드름이 열고 소복이 쌓인 강천의 풍경, 한 폭의 설화를 화폭에 담으려는 화가들의 발길이 끊이지 않는다. 이처럼 강천산의 사계절이 제각기 모습을 달리 하기에 찾는 이의 마음을 설레이고 새롭게 한다.<br>",http://gangcheonsan.kr,전북특별자치도 순창군 팔덕면 강천산길 97,A01,A0101,A01010300,https://cdn-icons-png.flaticon.com/512/1174/1174795.png,127.0675127446,35.4088283627,강천산 군립공원, 순창군
127651,"강천산휴양농원은 전북 순창군 구림면에 위치한 곳으로 1990년부터 터를 닦아 1997년 본격적인 관광농원으로 문을 열었다. 강천사 입구 삼거리에서 정읍 쪽으로 1.5㎞ 거리인 중바위 유원지 안에 자리 잡고 있다. 33,058㎡(1만여 평)에 이르는 산자락에 잔디마당과 산장 형태의 숙박시설, 허브온실을 갖춘 허브전문 관광농원이다. 농원 안에는 숙박시설 외에도 자연 하천을 이용한 물놀이가 가능하며, 강천산 계곡 등 들러 볼 곳이 많다.",http://www.kangchunsan.com/index.asp,전북특별자치도 순창군 구림면 강천로 854-23,A02,A0204,A02040800,http://tong.visitkorea.or.kr/cms/resource/83/3358883_image2_1.JPG,127.0627071317,35.4277205858,강천산휴양농원, 순창군
1607032,"지리산 정령치에 연이은 고리봉 아래 개령암 터 뒤 절벽에 새긴 이 마애불상군은 크고 작은 12구의 불상으로 이루어진 규모가 큰 불상군이다.
울퉁불퉁한 자연 암벽이어서 조각 자체의 양각도 고르지 못하고 훼손도 심한 편이나 3구는 비교적 잘 남아 있다. 이 가운데 가장 거대한 불상은 4m나 되는데 조각 솜씨도 제일 뛰어나 본존불로 여겨진다. 얼굴은 돋을새김이지만 신체의 옷 주름은 선으로 처리를 하고 있어 일반적인 고려 마애불의 수법을 따르고 있다. 또한 큼직한 얼굴과 형식화된 이목구비, 장대해진 체구와 간략해진 옷주름 등에서도 고려시대에 유행하던 거대 불상의 특징을 보여주고 있다. 1∼2m의 작은 불상들 역시 조각 수법이 모두 같으며, 각 부분의 양식이 비슷한 것으로 보아서 같은 시대에 만들어진 것으로 보인다.
이처럼 규모가 큰 불상군은 희귀한 예로서 명문까지 새겨져 있다는 점에서 마애불 연구에 소중한 자료가 된다.",https://www.heritage.go.kr/heri/cul/culSelectDetail.do,전북특별자치도 남원시 산내면 정령치로 1523,A02,A0201,A02010700,https://cdn-icons-png.flaticon.com/512/1174/1174795.png,127.5220487154,35.3638163064,개령암지 마애불상군, 남원시
126346,"부안군 우금산에 있는 백제시대 고찰이다. 개암사는 대한불교조계종 제24교구 본사인 선운사의 말사로 634년(무왕 35)묘련이 창건하였다. 개암이라는 이름은 기원전 282년 변한의 문왕이 진한과 마한의 난을 피하여 이곳에 도성을 쌓을 때, 우와 진의 두 장군으로 하여금 좌우 계곡에 왕궁 전각을 짓게 하였는데, 동쪽을 묘암, 서쪽을 개암이라고 한 데서 비롯되었다고 한다. 676년(문무왕 16) 원효와 의상이 중수하였고, 1276년(충렬왕 2) 원감국사 때는 30여 동의 건물을 세워 대사찰의 면모를 갖추게 되었다. 그 후 임진왜란으로 황금전을 제외한 전 당우가 소실되었고 1636년(인조 14)에 계호스님이 다시 중창하면서 오늘에 이르고 있다. 
개암사 뒤, 우금암을 포함한 길이 3,960m의 우금산성(주류성)은 백제의 유민들이 왕자 부여풍을 옹립하고, 3년간에 걸쳐 백제부흥운동을 폈던 사적지로도 유명하다.",http://gaeamsa.templestay.com,전북특별자치도 부안군 상서면 개암로 248,A02,A0201,A02010800,http://tong.visitkorea.or.kr/cms/resource/85/1604185_image2_1.jpg,126.6498267208,35.6628507594,개암사, 부안군
2774063,"고려와 조선 시대에 고을마다 설치했던 객사는 외국 사신이나 다른 지역에서 온 벼슬아치를 대접하고 묵게 했던 숙소이다. 전주 시내에도 이 같은 객사가 남아 있는데, 그 주변으로 전주 구도심 최대의 번화가가 조성되어 ‘객사길’로 불린다. 객사 길에는 수많은 로드숍과 프랜차이즈 음식점들이 즐비해 시민들은 물론 관광객들도 즐겨 찾는다. 특히 전주 객사 길은 매년 열리는 전주국제영화제의 배경이기도 하다. 국내 3대 영화제의 하나로 꼽히는 전주국제영화제는 독립영화를 중심으로 운영되며 수많은 화제작과 신인배우를 발굴했다. 객사길 한편에는 전주영화제작소를 비롯해 여러 영화관이 밀집해 ‘영화의 거리’로도 불린다. 영화의 거리 뒤편으로는 영화 팬들의 감성을 겨냥한 음식점과 카페, 옷가게가 자리해 일명 ‘객리단길’을 형성하고 있다.",https://tour.jeonju.go.kr/index.jeonju?menuCd=DOM,전북특별자치도 전주시 완산구 중앙동2가 10-1,A02,A0203,A02030600,http://tong.visitkorea.or.kr/cms/resource/59/3351559_image2_1.jpg,127.143728744,35.817666612,객사길, 전주시
2724379,"전주 북부지역을 감싸고 있는 건지산은 ‘큰 독을 쌓아 새어나가는 땅기운을 멈췄다’는 뜻을 지니고 있으며, 해발 101m의 낮은 산으로 높이가 낮고 경사가 완만해 초보자들도 쉽게 오를 수 있는 산이다. 건지산에는 도심 속 피서지로 불리는 편백숲이 자리 잡고 있다. 편백숲은 전북대가 조성, 운영하고 있는 학술림의 일부로 오송제, 한국소리문화의 전당과 조경단 두 곳에 위치하고 있다. 규모는 작은 편백 숲이지만, 접근성이 좋아 많은 시민들에게 사랑받고 있다. 건지산은 전주의 정취를 느낄 수 있는 한국소리문화의 전당, 덕진공원, 전주 동물원과도 맞닿아 있으며, 전북천리길 건지산길, 전북대 캠퍼스 둘레길과 이어져 있어 다양한 걷기 코스를 즐길 수도 있다.",https://tour.jeonju.go.kr/board/view.jeonju?boardId=BBS,전북특별자치도 전주시 덕진구,A01,A0101,A01010400,https://cdn-icons-png.flaticon.com/512/1174/1174795.png,127.1391338273,35.8513293678,건지산, 전주시
129070,"변산반도국립공원 서부 해안에 있는 격포마을은 관광지와 항구가 함께 자리한 관광어촌이다. 이 마을에는 해안에 채석강(전북 서해안 지질공원)이 있고 변산반도의 산지가 보여 자연경관이 수려하다. 또한 격포해수욕장과 격포터미널, 수상 레저시설, 숙박시설, 음식점 등 편의시설이 조성되어 있어 여름철 피서지로서도 인기가 있다. 격포해수욕장은 간만의 차가 심하지 않고 물이 맑으며, 경사가 완만해 해수욕장으로서 좋은 여건을 갖추고 있다. 그리고 격포항에는 수산시장이 있어 싱싱한 해산물을 맛볼 수 있다. 특히 봄의 주꾸미 산란철과 가을 전어 철에 그 인기가 높다. 해수욕장에서 배를 빌려 바다낚시를 할 수도 있고, 여객터미널에서 변산반도 앞바다에 있는 위도로 가는 여객선을 이용할 수 있다. 주변에는 적벽강, 월명암 낙조대, 내소사, 후박나무 군락, 수성당, 궁항, 두포마을 갯벌체험장 등이 있어 연계하여 관광할 수 있다.",http://www.buan.go.kr/tour,전북특별자치도 부안군 변산면 격포항길 64-18,A02,A0203,A02030100,http://tong.visitkorea.or.kr/cms/resource/11/1976011_image2_1.jpg,126.4700854705,35.6210191572,격포마을, 부안군
128980,"격포항은 해양수산부에서 선정한 우리나라 [아름다운 어촌 100개소] 중 한 곳이다. 1986년 3월 1일 1종 항으로 승격되었으며 위도, 고군산군도, 홍도 등 서해안 도서와 연계된 해상교통의 중심지다. 또한, 채석강교, 분수광장, 채석강 광장, 낚시터 및 전망대, 해안 산책 보도교, 조명타워가 주변에 조성되어 있다. 격포항의 요트마리나는 요트 계류장으로 37척의 요트가 접안할 수 있는 시설과 관리동을 갖추고 있다.
격포항 주변은 서해 청정해역의 감칠맛 나는 수산물이 많이 나오는 곳으로, 봄 주꾸미 산란철과 가을 전어철에는 차를 주차할 공간이 없을 정도로 전국 각지에서 온 미식가와 관광객들로 붐빈다. 주꾸미, 갑오징어, 꽃게, 아구, 우럭, 노래미, 광어, 전어, 백합, 바지락 등의 수산물이 많이 나오며 격포항 주변으로 수산시장과 횟집, 음식점들이 많이 있다. 특히, 격포항은 바다 위로 떨어지는 해넘이 풍경이 아름다운 곳이며, 도보로 이동이 가능한 격포해수욕장, 채석강과 해식동굴이 해안 절경을 이룬다.",http://www.ibuan.co.kr/tour10/index.htm,전북특별자치도 부안군 변산면 격포리 788-15,A01,A0101,A01011400,https://cdn-icons-png.flaticon.com/512/1174/1174795.png,126.4686633325,35.622713385,격포항, 부안군
126288,"격포해수욕장은 부안군 변산면 격포리에 있는 해변으로 변산반도 국립공원에 속해 있다. 닭이봉과 채석강 사이에 있어 채석강의 절경을 가까이서 볼 수 있어 채석강 해수욕장으로도 불린다. 
해수욕장 뒤편으로 대명아쿠아월드, 소노벨변산 등 리조트와 워터파크, 캠핑장 시설과 음식점, 호텔, 펜션, 수산시장 등 편의시설이 잘 되어 있어 불편함 없이 격포해수욕장을 즐길 수 있다. 이곳에는 해수욕장에서 배를 빌려 바다낚시도 하고, 갯벌체험도 하기 위해 연중 사람들이 몰려든다. 또, 채석강과 채석강 해식동굴을 보기 위해서는 물때를 맞춰야 하는데 물때 시간표는 변산반도국립공원탐방안내소에서 안내받으면 된다.
이곳의 낙조는 변산팔경 중 으뜸으로 서해에 떠 있는 섬들 너머로 온 바다를 붉게 물들이는 석양은 절경 중의 절경이다. 격포해수욕장은 그 경치가 아름다워 대천해수욕장, 만리포해수욕장과 더불어 서해안의 3대 해수욕장으로 손꼽힌다.",https://www.buan.go.kr/tour/board/view.buan?boardId=BBS,전북특별자치도 부안군 변산면 변산해변로 29-14,A01,A0101,A01011200,https://cdn-icons-png.flaticon.com/512/1174/1174795.png,126.4698102873,35.6292793235,격포해수욕장, 부안군
716313,"남원시에서 동남쪽으로 11㎞쯤 떨어진 수지면과 전남 구례군 산동면의 경계선상에 견두산(774m)이 솟아 있다. 남원의 금지평야와 곡성 방면에서도 우뚝 솟아 보이는 이 산은 일명 개머리산이라고도 하는데 원래 이름은 호두산 또는 범머리산이었다. 이 견두산에는 옛날 성질 사나운 들개들이 수십 수백 마리씩 떼 지어 살면서 사람을 해치고 또 수백 마리가 일시에 짖어대면 천지가 진동할 정도로 소란스러웠다고 한다.

이 견두산은 지리산 줄기가 서남쪽으로 가지 쳐 나온 지맥선상에 솟은 산으로 남쪽은 전남 곡성지방으로 뻗어 천마봉, 깃대봉을 일구고 동쪽으로는 구례군 산동면 너머로 지리산의 반야봉, 노고단, 정령치가 지척지간에 자리 잡고 있는 등 정상의 암봉, 암릉지대에서의 전망이 뛰어난 곳이다. 북쪽 골짜기에는 옛날 백제시대의 사찰로 추정된 극락사가 있었으나 이 사찰에는 어찌나 빈대가 많은지 견딜 수 없어 폐사되어 지금은 ‘극락이’라는 골짜기 이름만이 남아 있을 뿐이다. 지금도 이 골짜기의 바위와 돌에는 빈대 껍질과 빈대 허물이 곳곳에 박혀 있다고 한다. 특히 북릉선 좌우는 운봉읍 바래봉 철쭉에 버금가는 철쭉 군락지로 봄을 화려하게 장식한 곳이기도 하다.",http://www.namwon.go.kr/tour/index.do,전북특별자치도 남원시 수지면 고평리,A01,A0101,A01010400,https://cdn-icons-png.flaticon.com/512/1174/1174795.png,127.4134144762,35.3400448809,견두산, 남원시
716538,"전주시에서 27번 국도를 타고 순창 방면으로 가다 완주군 구이면으로 들어서면 구이저수지 동북쪽으로 솟아 있는 산이 경각산(660m)이다. 모악산과 마주하고 있으면서도 모악산에 가려 그리 찾는 사람이 적지만 호젓한 산행을 즐기려는 사람들에게는 더없이 좋은 곳이다. 경각산의 유래는 한자로 고래 경, 뿔각을 써서 고래 등에 난 뿔처럼 생긴 산이라는 뜻에서 지어진 이름이다. 산 아래의 광곡마을에서 바라보면 모악산 방향으로 머리를 향한 고래의 모습이며, 정상에 있는 두 개의 바위가 마치 고래의 등에 솟아난 뿔의 형상이다.
산행은 능선을 따라 30분 정도 오르는데 추운 겨울에도 빛을 잃지 않는 효관재의 전나무 조림지가 산행의 피로를 씻기에 충분한 삼림욕을 제공한다. 이어지는 옥녀봉에서는 지나온 호남정맥의 줄기를 조망하기에 좋다. 동쪽으로 쑥재로 향하는 길은 급경사 내리막길이다. 쑥재부터 임도를 따라 30여 분 걸으면 유황 성분으로 유명한 죽림, 송산온천이 나타난다. 이곳에서 산행의 피로를 말끔히 씻어낼 수 있어 권할 만하다. 경각산 주변이 최근 패러글라이딩의 점프장으로 알려지면서 주말이면 창공으로 활공하는 패러그라이더의 활기찬 모습을 볼 수 있다.",http://www.wanju.go.kr/tour/,전북특별자치도 완주군 구이면 광곡리,A01,A0101,A01010400,https://cdn-icons-png.flaticon.com/512/1174/1174795.png,127.1566049676,35.7269104862,경각산, 완주군
