contentid,overview,tel,homepage,zipcode
2793231,가장마을은 노치마을 오른쪽에 있는 덕산저수지 동쪽의 구릉 지대와 경계로 접하고 있다. 노치마을의 동쪽부터 가장마을까지 이어지는 들판은 해발 500m 고지라고는 믿어지지 않을 만큼 너른 들녘이 이어진다. 또한 섬진강과 낙동강을 이루는 물줄기가 처음 이루는 곳이 광천인데 이 물길은 운봉읍을 지나면서는 ‘람천’이라는 이름으로 사람들이 더 많이 부르고 있다. 풍수지리에 의하면 하늘에서 내려온 선녀가 화장을 하는 형국이라 하여 가장리(佳粧里)라 불렀다 한다. 지금은 들녘에 농사짓는 움막 터를 뜻하는 농막 장(庄) 자를 써 가장리(佳庄里)로 쓰고 있다. 마을 사람들은 옥녀봉 아래에 옥녀가 베를 짜는 옥녀직금의 천하명당이 있다고 믿고 있다.,,"<a href=""https://www.namwon.go.kr/tour/index.do"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.namwon.go.kr/tour/index.do</a>",55720
135563,"무주 덕유산리조트 인근에 위치한 한식 전문 음식점으로 겨울 시즌에는 쉬는 날 없이 늦은 시간까지 영업한다. 메뉴로는 간장게장정식, 갈비전골, 한우등심, 한우특수부위, 토종능이버섯백숙 등 다양한 한식 메뉴가 있다. 10여 가지 이상의 밑반찬이 함께 나와 입맛을 돋운다.",063-322-1188,,55555
579046,"가족회관은 1973년에 개업해 3대째 가업을 이어온 비빔밥 전문점이다. 1대 김년임 대표는 농림축산식품부 전통식품 명인 39호 전라북도 무형문화재 제39호 비빔밥 기능보유자이다. 메뉴는 전주비빔밥과 육회비빔밥 두 가지와 가족회관 정식이 있는데 정식은 하루 전에 예약해야 먹을 수 있다. 비빔밥을 주문하면 나무 쟁반에 기본 찬이 정갈하게 담아져 나온다. 10여 가지가 넘는 반찬에 뚝배기 계란찜까지 푸짐한 상이 차려진다. 전주비빔밥은 전북지역에서 생산되는 유기농 농산물로 만들어지며, 사골국물로 지은 밥은 밥알이 코팅되어 식어도 굳거나 딱딱해지지 않는다. 깔끔하고 담백한 맛에 건강까지 챙길 수 있는 곳이다.",063-284-0982,,55038
1857201,"뜬봉샘에서 발원한 금강은 군산과 서천을 경계로 금강하구둑에서 바다를 만난다. 금강하구둑 앞바다는 백제 멸망 당시 당나라 수군이 침입했던 기벌포이자, 고려 말 최무선이 우리나라 최초의 화포를 사용해 왜군을 섬멸한 곳이기도 하다. 금강하구는 역사가 제법 깊은 곳이자 겨울철이면 철새도래지로 화려한 가창오리의 군무를 만날 수 있는 곳이기도 하다.",,,
1608562,"조선 후기의 성리학자 전우(1841∼1922) 선생이 학문을 연구하던 곳이다. 선생은 임헌회 문하에서 20년간 학문을 배웠으며, 고종 19년(1882) 벼슬에 올랐으나 곧 사임하고 학문에만 전념하였다. 1910년 국권이 일제에 강탈되자 선생은 통분해하며 스스로 귀향하여 도학으로 국권을 회복하고자 노력하였다. 그러나 의병을 일으키지 않고 도학만을 이야기한다고 하여 지탄을 받기도 하였다. 1922년까지 이곳에서 도학을 가르치며 항일정신을 고취하여 민족정기를 진작하는데 일생을 바쳤다. 전우 선생의 성리학적 연구 업적은 높이 평가되고 있으며, 전통적인 유학사상을 그대로 실현시키려 한 점에서 조선 최후의 정통 유학자로서 추앙받고 있다.",,"<a href=""https://www.buan.go.kr/tour/board/view.buan?boardId=BBS_0000242&menuCd=DOM_000000210002011000&orderBy=REGISTER_DATE%20ASC&paging=ok&startPage=2&dataSid=246559"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.buan.go.kr/</a>",56300
2381376,"거칠지만 자연스럽고, 투박하지만 세련된 공간에서 따뜻한 감성을 되살릴 수 있는 여행지가 진안 원촌마을이다. 특별하게 볼 것 없는 평범한 시골 마을이지만, 기계로 찍어낸 획일적인 간판을 예쁜 손글씨 간판으로 바꿔 달면서 꽤나 근사한 마을로 탈바꿈했다. 길에서 만나는 아날로그 풍경과 그 속에 보물처럼 숨어 있는 친근한 간판의 글씨체가 잊고 지낸 고향의 기억을 되살아나게 한다. 그래서 지금 나는 원촌마을을 걷고 있다.",,,
129681,"진안읍에서 정천을 거쳐 주천을 향하여 2km를 가다 보면 갈거마을이 있고, 이곳에서 운장산 정상으로 통하는 길이 7km의 깊은 갈거계곡이 있다.
700여 평이나 되는 마당바위, 해기소, 감탄이 절로 나는 정밀폭포 등 운장산으로 오르는 등산로 옆의 계곡은 우거진 원시림과 크고 작은 폭포와 어우러진 기암괴석이 몇 폭의 산수화를 이어 놓은 듯 첩첩이 눈 아래 펼쳐진다. 가을철에는 계곡을 물들인 황홍색 단풍은 가히 황홀한 절경을 이루어 어느 국립공원에 견주어도 모자람이 없을 풍광이다. 운장산은 해발 1,000m 이상으로 높지만, 가족들이 오르기에 무리가 없는 완만하고 시원한 코스로 모든 가족이 함께 한번 도전해 볼 만한 하다.  
주변에 국립 운장산자연휴양림, 천황사가 있어 연계 관광을 할 수 있다.",,"<a href=""https://jinan.go.kr/tour/sub_5/?p=2&n=4&uid=2"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://jinan.go.kr</a>",55410
2568281,"군산 갈비스토리는 고급스러운 분위기의 인심좋고 친절한 갈비찜 전문점이다. 해물갈비찜에는 피자한판을 무조건 제공하고 있다.
(정보제공자: 군산시청)",0507-1302-2832,,54131
1595441,"‘감로’란 신선이 먹는 불로, 불사, 기사회생의 물, 태평성대에 하늘에서 내리는 단물을 뜻한다. 약선이란 건강하게 살고 싶다는 인간의 욕망에서 나온 중국의 오랜 식문화에서 발생된 한방 요리로 한의학의 이론에 근거하며 생약이나 그 밖의 약용 가치가 높은 먹거리를 잘 조합하여 조리한 전통적인 영양식이다. 주변의 문화재로는 조경단을 찾아볼 수 있고 가까이에 즐길 수 있는 전주종합경기장, 야구장, 금암공원, 덕진공원 등이 자리하고 있다.",063-275-8811,,54931
2891323,"7~8가지 약재를 우린 물로 밥을 짓는 ‘약용비빔밥’이 대표 메뉴다. 약용 비빔밥에는 기본적인 비빔밥 재료 외에 밤, 대추와 같은 맛은 물론 몸에도 좋은 한약재가 함께 얹어져 나온다. 비빔밥에 넣는 고추장도 직접 담그는데, 사과와 배, 양파를 넣고 발효시켜 기분 좋은 달큰함이 느껴진다.",,,54883
1625103,"내장저수지가 바라다보이는 곳에 자리 잡고 있는 이 탑은 동학농민혁명 100주년을 기리는 탑으로, 1997년 5월 11일 건립되었다. 바로 옆에는 내장산조각공원이 있다. 화강암, 대리석, 오석 등으로 만든 탑으로, 주탑과 부탑으로 되어있다. 
주탑의 4각뿔은 동학농민혁명의 이상을 상징하고, 흰 대리석은 민족봉기의 정신을 상징한다. 동학농민혁명이 일어난 1894년을 기리기 위하여 높이 1,894m로 조성하였다. 
상층부에 3단 금태는 고부 농민봉기, 3월 백산봉기, 9월 삼례봉기를 상징한다. 문경석으로 만든 부탑은  4개의 원기둥으로 되어 있는데 이는 4민(四民: 사농공상), 평등, 수평, 사회를 상징하는 것이다. 각각의 원기둥은 높이 1,100m, 지름 85cm 규모이다. 이 기념탑은 정읍 출신의 설치미술가 전수천이 조성하였다. 주변에 내장산 워터파크와 내장산 문화광장이 있다.",,"<a href=""https://www.jeongeup.go.kr/culture/board/view.jeongeup?boardId=BBS_0000001&menuCd=DOM_000000601003000000&startPage=3&categoryCode1=AA01&dataSid=95"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.jeongeup.go.kr</a>",56199
1014287,"겨울에는 덕유산으로 유명하고, 여름에는 반딧불이 축제로 유명한 무주에는 또 유명한 것이 하나 있다. 바로 ""어죽""이다. 금강의 청정지역에서 갓 잡은 생선으로 죽을 쑨 무주 어죽은, 충청도의 ""금산 어죽""이나 충남 예산의 ""예당호 어죽""과 어깨를 나란히 한다. 어린 시절 천렵 놀이를 한 후, 쨍한 여름 햇볕 아래서 끓여 먹었던 그 어죽. 그리고 강변에 사는 어부나 농부가 여름의 보양식으로 끓여 먹었던 그 어죽 맛을 무주에서 느낄 수 있는 것이다. 이곳에서 제공하는 어죽은 금강에서 잡은 민물고기로 끓이는 얼큰한 맛이 일품이며, 시래기를 듬뿍 넣어 끓이는 매운탕도 맛볼 만하다.",063-324-2898,,55507
2823376,"강나루풍천장어는 전북 고창군 용산리에 위치한 음식점이다. 1박 2일, 예체능, 생방송 TV에 출연한 풍천 장어구이 전문점으로 옥수수를 이용하여 장어구이를 함으로써 맛은 더욱 고소해지며 구이뿐만 아니라 몸에 좋은 장어탕까지 준비되어 있는 곳이다. 또한 주변 강가에 산책로가 잘 꾸며져 식사 후 간단히 걷기에도 좋다.",,,56417
2837920,"전북특별자치도 임실군 옥정호가 보이는 뷰가 멋진 횟집이다. 한 번 방문하면 다시 찾아온다는 맛집으로, 단골손님들로 늘 북적인다. 회도 신선하고 맛있지만, 매운탕과 반찬들이 단골손님들 사이에서는 더 유명하다. 민물매운탕은 잡내 없이 깊고 개운한 맛으로 손님들의 입맛을 사로잡는다. 어르신들과 함께 하기 좋아, 가족 외식 장소로도 널리 알려져 있다. 양이 푸짐해서 허기진 배를 든든하게 달래기에도 부족함이 없다. 옥정호와 옥정호 전망대 인근에 있어, 관광 후 들러 한 끼 식사를 즐기기에 좋다.",,,55906
2570638,몸과 마음의 쉼터가 되길 바라는 뜻을 담은 강령전은 한옥의 그윽한 전통미와 함께 고전적인 우아함이 어우러지는 쉼이 있는 공간이다. 전주한옥마을 중심부 경기전 옆에 위치하여 전주한옥관광에 최적화된 장소로 2016년 3 월 15일 오픈하는 신축 전통한옥이다.,,"<a href=""https://withhanok.modoo.at/"" target=""_blank"" title=""새창 : 강령전 홈페이지로 이동"">https://withhanok.modoo.at/</a>",55042
133229,"금강 상류에서 잡은 민물고기 매운탕 외에 자연산 미꾸라지로 끓인 추어탕으로 유명하다. 이 밖에 민물장어구이, 민물어죽, 토종닭도 맛이 있으며 금강 상류의 맑고 깨끗한 청정지역의 강에서 잡은 민물고기만 취급한다. 무주군 및 전라북도에서 지정한 향토 전통 음식점으로, 주인인 주방장은 명인록에 기록되어 있다. 맑은 시냇물과 자연경관을 굽어보며 식사를 즐길 수 있어 운치를 더할 수 있다.",063-322-9442,,55511
2726718,"강변사리마을캠핑장은 전북 임실군 덕치면  강변사리마을 내에 위치한 캠핑장이다. 강변사리마을은 물우리, 일중리, 장암리, 천담리 4개 마을이 하나의 브랜드로 이루어진 마을로, 캠핑장은 마을 주민들이 함께 공동 운영하고 있다. 마을 내엔 섬진강 시인으로 유명한 김용택 시인의 문학관이 있으며 농어촌체험휴양마을로 교류센터에 교육장, 회의실, 조리 공간 등이 있어 다양한 체험 활동을 즐길 수 있다. 캠핑장은 전체적으로 깔끔한 시설을 자랑하며 샤워장, 화장실, 개수대의 전력은 전부 태양열로 가동되는 친환경 시설을 갖추었다. 덕분에 햇볕의 유무와 상관없이 햇볕이 데워준 따뜻한 온수를 사용할 수 있다. 이곳은 청정지역으로 유명한 섬진강변에 위치하고 있어 물놀이를 할 수 있으며 물가에서 오지캠핑도 즐길 수도 있다.",,"<a href=""http://www.gang42.com/"" target=""_blank"" title=""새창 : 강변사리마을캠핑장 사이트로 이동"">http://www.gang42.com/</a>",55942
130090,"강암서예관은 조상 때부터 서맥을 이어오고 있는 이 고장 출신으로 서예계의 거봉인 강암 송성용의 뜻으로 세워진 우리나라 유일의 단일 서예전시관이다. 총 2층의 기와로 된 한옥 건물에 1층 기획전시실, 2층 상설전시실과 수장고가 지하에는 강의실, 수장고가 있다. 이곳에는 추사 김정희, 창암 이삼만, 단원 김홍도의 작품과 다산 정약용의 간찰 등을 포함한 작품 등이 1,162점이 전시되고 있다.
전주를 상징하는 풍남문에서 경기전을 거쳐 동쪽으로 오목대, 향교, 한벽당 등이 이어있는 교동 전주천변의 강암서예관은 예술을 사랑하는 사람들의 발길이 이어지고 있다.
인근에는 동학혁명기년관, 전주한옥마을, 전동성당 등의 관광지가 있어 연계하여 다녀볼 만하다.",,"<a href=""http://www.gangamseoye.com/"" target=""_blank"" title=""새창 : 강암서예관 홈페이지로 이동"">http://www.gangamseoye.com</a>",55044
136962,"전북 순창군 팔덕면의 대표 강천산은 호남의 소금강이라고 불릴 정도로 도처에 기봉이 솟아 있고 크고 작은 수많은 바위 사이의 폭포가 절경을 이룬다. 또 깊은 계곡과 울창한 숲은 자연 그대로의 모습을 고이 간직한 곳이다. 유서 깊은 강천사와 삼인대, 강천산 5층 석탑, 금성산성 등 문화 유적이 산재하고 여기저기 비경이 숨겨져 있다. 그곳에 식당과 같이 운영하는 강천각모텔이 있다. 
온돌룸과 더블룸이 준비되어 있고 1층 식당이 있어 단체 여행객에게 편리함을 줄 수 있는 곳이다. 주변 관광지로는 식영정, 소쇄원, 강천산, 강천사, 강천산 서원, 허브 관광 농원, 구림장(3,8일) 등이 있어 관광 후 강천각모텔에서 숙박하기 용이하다.",063-652-9930,,56020
1985854,"전북 순창군에 위치한 ‘강천골식당’은 강천산 상가 내 위치해 있다. 청국장과 함께 나오는 기본반찬, 소스와 재료들을 직접 새벽마다 준비하여 신선한 맛을 느낄 수 있다. 직접 만든 양념장으로 만든 산채비빔밥과 소고기 전골처럼 끓여 먹는 산더미불고기 그리고 간단한 산행 후 먹기 좋은 해물파전과 도토리묵 등 다양한 메뉴를 선보이고 있고 좋은 재료를 사용하여 건강하고 푸짐하게 음식을 즐길 수 있다.",063-652-9920,,56020
2357460,"강천사 모과나무는 강천사로 길목에 있는 수령 약 300년의 모과나무이다. 높이 19m, 둘레 3.1m로 높이 50cm 정도에서 두 가지로 나누어진다. 한 가지는 뻗어서 다시 두 가지로 나뉘고, 다른 한 가지는 1m 정도에서 네 가지와 두 가지로 나누어져 자란다. 
모과나무를 강천사에 머물던 스님이 심었다는 설과 조선 후기 순창 출신의 실학자인 신경준이 심었다는 설이 함께 전해진다. 지금도 꽃을 피우고 열매를 맺고 있으며, 모과나무의 왼쪽으로는 단풍나무가 오른쪽에는 양치식물인 고사리류가 자라고 있다.",,"<a href=""http://www.grandculture.net/sunchang/toc/GC05900495?search=A3/2"" target=""_blank"" title=""새창 : 홈페이지로 이동"">http://www.grandculture.net/sunchang</a>",56020
126347,"강천사 군립공원 입구에서 1.8km 지점에 위치한 강천사는 신라 진성여왕 원년(887년)에 도선국사에 의해 창건되었다. 그 후 번창하여 고려 충숙왕 3년(1316년) 덕현선사가  사찰을 중창하고 5층 석탑을 세웠고 한때 12개 암자와 1천여명의 승려들이 머물렀다고 한다. 그런데 임진왜란 때 석탑만 남고 모두 소실되었다. 선조 37년 (1604년)에 소요대사가 재건했으나 다시 한국전쟁 때 소실되었다가 1959년 원상대로 복원하였다.충신리와 남계리, 석장승, 순창객사, 순화리 3층 석탑 등의 문화재가 있으며 주변 관광지로 금성산성, 용소폭포, 강천호, 담양호, 추월산, 희문산, 내장산국립공원 등이 있다.",,"<a href=""https://gangcheonsan.kr/?c=2/12/57""새창 : 강천사 사이트로 이동"">http://gangcheonsan.kr</a>",56020
1625118,"강천산은 계절에 따라 산의 경관이 변하고 그 경관이 한결같이 수려해 호남의 소금강으로 불린다. 산입구에서 시작되는 두 개의 산줄기를 사이에 두고 약 8㎞나 뻗은 계곡을 따라가다 보면 기암괴석과 크고 검은 못, 자연폭포가 엇갈리면서 주변의 수림과 조화를 이루어 절경을 연출한다. 또한 강천산의 자랑인 아기단풍이 붉게 물들어 만산홍엽을 이룬다. 매표소에서 강천사까지 이어진 계곡은 경사도 완만해 거닐기도 좋고 중간중간 계류에 발을 담그고 쉴 수 있는 공간도 많다. 비구니들의 도량인 강천사는 신라 때 도선국사가 창건했다는 고찰이며 강천사에는 고려 충숙왕 때 세워진 지방유형문화재 제92호인 오층석탑이 현존하고 있다.",,"<a href=""http://gangcheonsan.kr/"" target=""_blank"" title=""새창: 강천산군립공원 홈페이지로 이동"">http://gangcheonsan.kr/</a>",56020
126249,"전북 순창군 팔덕면 청계리 996번지 일대에 위용을 자랑하고 있는 강천산은 왕자봉(해발583.7m)과 광덕산 선녀봉(해발578m)을 비롯하여 산성산 연대봉(해발603m)을 중심으로 세 개의 산 사이로 병풍을 둘러치듯이 남록과 북록으로 나뉘어 작은 협곡을 이루고 있으며, 사방이 모두 바위산으로 빼어난 아름다움을 간직한 자랑스러운 산이다. 골짜기마다 단단한 암반 위로 깨끗하고 맑은 물이 샘처럼 솟아 흐른다하여 강천이라 불렀고 그 주변의 모든 산을 강천산이라 하였다. 예전에는 용천산(龍泉山)이라 불렀다고 한다. 두 마리의 용이 하늘을 향해 꼬리를 치며 승천하는 형상이라 지어진 이름이다.<br /><br />노령산맥에서 추월산을 이어 광덕산과 용천산을 이루고 강천의 진산으로 하늘높이 우뚝 솟은 산성산(두 마리의 용이 동쪽하늘에서 서쪽하늘로)에서 두 마리의 용이 나란히 수 십리를 동으로 달린다. 그 속에 수많은 봉우리들 있는데 이름 있는 봉우리만 말하면 연대봉, 운대봉, 수령봉, 천자봉, 깃대봉, 왕자봉, 견제봉, 송락봉 등이다. 그야말로 천봉, 만학, 기암, 괴석이 천태만상이고 거기에 우거진 천연림은 태고를 자랑하듯이 바람만이 물결을 이루고 있다. 이 두 산속 가운데는 수 십리 깊은 계곡이 있다. 이름 있는 계곡만 말하면 연대계곡, 선녀계곡(저부제골), 원등계곡(용대암골), 분통골, 지적골, 소목골, 삼인대계곡(황우제골), 기우제골, 세냥골, 물통골, 초당골, 우작골, 동막골, 금강계곡(탑상골), 승방골, 변두골 등 이다. 골골마다 발원하여 흐르는 맑은 물이 중천으로 합류하여 바위와 바위, 돌과 돌에 부딪히는 물소리는 계곡을 울리며 강천호로 들어간다.<br /><br />시냇가에 봄이 오면 버들강아지 피어오르고 개나리, 진달래꽃 만발할 때쯤이면 산봉우리마다 산벚꽃이 한창이다. 십오리가 넘는 계곡길을 따라 자갈과 자갈사이를 맑고 깨끗한 물에 쉴세 없이 흘러내린다. 너무나 차가워서 인지 맑아서인지 이끼가 끼지 않는다는 강천수로 한여름이 더위를 식혀본다. 유달리 잡목과 단풍나무가 많은 강천산은 일곱 가지나 되는 단풍(나무)속에서 애기단풍과 애기다람쥐가 가을의 정취를 더한다. 산세가 가파르거나 위험하지 않는 여러 갈래의 소로길은 가족이나 친구, 연인들이 즐겨 찾는다. 또한 산을 좋아하고 산을 사랑하는 등산객의 산행에도 안성맞춤이다. 백설이 휘날리며 고드름이 열고 소복이 쌓인 강천의 풍경, 한 폭의 설화를 화폭에 담으려는 화가들의 발길이 끊이지 않는다. 이처럼 강천산의 사계절이 제각기 모습을 달리 하기에 찾는 이의 마음을 설레이고 새롭게 한다.<br>",,"<a href=""http://gangcheonsan.kr"" target=""_blank"" title=""새창: 순창 문화관광 홈페이지으로 이동"">http://gangcheonsan.kr</a>",56020
