관광지이름,총점,이름,내용,별점
망해사,4.2,김지은,"바다와 붙어있는 아담한 사찰. 해질무렵 그윽한 어둠이 밀려오기전 차분한 마음.
절 언덕에 오르면 바다가 펼쳐집니다.",5
망해사,4.2,MR Louie,낙조가 멋진 망해사 명승지정축하드립니다,5
망해사,4.2,고재방,대한민국에서 일몰을 보기 가장 좋은 곳 중의 하나이며 수백년된 팽나무가 두 그루 서 있다,5
망해사,4.2,Grim BS (Grimbee),"김제 심포항 옆에 있는 사찰입니다. 예전에 새만금방조제가 만들어지기 전에는 사찰 담 아래가 서해 바다였지만, 지금은 만경강의 물줄기만 볼 수 있습니다. 사찰의 규모는 작지만 풍광이 (예전 같지는 않지만) 아름답습니다. 200m 옆에 전망대에 오르면 새만금을 조망할 수 있습니다. 그리고 새만금 동서도로가 시작되는 곳이기도 합니다.",3
망해사,4.2,Simon Kim,조용하고 경치가 아름다운 사찰.,5
망해사,4.2,권순용,새만금방조제로 인해서 망해사 앞바다가 사막화 되어가고 있어 아쉬움이 컷다.,4
망해사,4.2,김인규 채널,바다와 같이 있어서 경치는 좋다,3
망해사,4.2,byung cho so,이제 더 이상 바다가 아닌 바다를 바라보는 절. 주변도 분위기가 있어 걷기 좋다.,5
망해사,4.2,Joung O Ryu,고즈녁한 바닷가사찰입니다. 새만금 동서도로가 개통되어 접근성이좋아졌습니다.,5
망해사,4.2,이승가,"김제에 있는조용한 절입니다
바닷가가 보이는  해돗이 해맛이 장소입니다",5
망해사,4.2,ilkwon kim,"만경에서 (구)심포항으로 가는곳에
망해사가 있습니다. 심포항에서 새만금쪽으로 쭉뻣은 도로는 또다른 새만금의 위엄을 보여줍니다.",5
망해사,4.2,Kwangjoon Rah,석양이 아름다운 고찰입니다,4
망해사,4.2,Sangmin Park,종요하고 사색하기 좋은 곳입니다,4
망해사,4.2,죤스씨,석양이 이쁜 망해사 예전보다 유명해졌지만 여전히 붐비지 않아 사진찍기 좋은 곳,5
망해사,4.2,문쌤,조용하고 한적한 사찰. 바로 앞 바다와 강의 풍경도 좋음,5
망해사,4.2,김경남,바다를 전망할 수  있는  절이라는  뜻에서 망해사이지만 흘러가는  만경강 강물만 조망 가능. 다만 고색 창연한  5백년 된  팽나무만 역사의  산  증인처럼  우두커니 서있는 모습이  매우  인상적  풍경임.,4
망해사,4.2,paladinsally HAN,바다가 보이는 사찰. 바람쐬기 좋음,4
망해사,4.2,백권,"조그마한 사찰.
바다가 보이는 자리에 워치해 일몰을 볼수 있어요.
정말 조용합니다.",3
망해사,4.2,무연불,"오래전 여행길에 우연히 마주한 자그마한 사찰로 백제 의자왕시절 창건한 오래된 절이다
바다와 강을 같이 바라볼 수있는 터 라서 굴이 많아,
430여년전 낙서전을 올린 진묵대사가 굴을 드시려는데 촌로 왈 스님이 왜 육식을(?) 하니, 스님 왈  요거이 육식이 아니라 석화라, 하여 굴을 석화라 칭하게 되었다 하는...

조용하고 고즈넉하야 고시공부하기 딱일러라.
늘 그리워 함 가봤니더.",5
망해사,4.2,이정우 (율운 이정우),풍경이 아름다운 곳,5
망해사,4.2,myoungsu kim,"새만금방조제가 보이고, 주변에 심포항이 있습니다.",4
망해사,4.2,이홍범,"새만금 바람길 심포항 방향으로 길을 걷다 마주한
사찰로 바다를 조망할 수 있어  시원한 바다 바람과 풍광이 일반 사찰과는 색다른 느낌을 받음.",4
망해사,4.2,이원연,전망대가 너무 좋았습니다,5
망해사,4.2,이영복,"전북김제신포에있는절인데만경강쪽으로보이는낙조가정말로일품이다.
오래된고목과잘어울리는풍경잘정리된주변환경이더욱빛이난다고찰에멋이결코훼손됨이없어더욱좋앗다.",4
망해사,4.2,김진,"큰 기대없이 간 곳인데 좋았어요. 만경강 하구의 모습, 갈대와 한가로이 노니는 새들, 풍광 좋았습니다. 사찰은 아담했어요.",4
망해사,4.2,Sang-Hun Yi,"조용하고 고즈넉해서 좋아요.
새만금방파재에서 심포 쪽으로 좀 돌아서 진입해야되지만 여유가 되시면 들러볼만 합니다.
여수 향일암처럼 바다를 바라보지만, 고즈넉하고 그 바다가 뭍으로 변해가는 모습을 보실 수 있어요.
매번 옆에 전망대만 갔었는데, 이렇게 좋은 장소를 놓치고 있었네요.
높은데서 바라보는 것도 좋지만, 낮은 시선도 나름 매력이 있는 장소입니다.
꽃피는 봄철에 다시 한 번 찾고 싶군요.
사찰 앞 돌담과 마당 중간에 가지가 늘어진 나무가 운치를 더해줍니다.
사찰 앞까지 차량 진입이 가능하며 주차 공간도 있습니다.",5
망해사,4.2,유철민,"바다를 보고 있는 절. 입구에서 부터 꽤나 올라가야만 했다. 산책코스로 적당했으며, 운치있는 절에 도탁하니 그동안에 시름이 별거 아닌것처럼 느껴졌다. 그래도 고민거리를 완전히 잊을 수 없는 내가 너무 싫었지만, 수백년 이자리에 있었던 절에 비하면 나쯤이야 대충 살아도 되지않을까라는 위안을 얻으며 돌아왔다",4
망해사,4.2,이준기,"조용한 산과바다가
어울려 있는곳,
가까운 심포에서
새만금 방조재를 갈수있는
4차선 도로가 연결되어 부안.군산.
선유도를 갈수있는곳~~",5
망해사,4.2,국윤호,절뒤쪽으로 산책하기좋은 길이 있어서좋구요 조금오르다가 팔각정에 올라가서 만경강을따라서 내려오는 너른강을보노라면가슴이확트입니다,4
망해사,4.2,최태진,"바다 가까이에 있는 아주 오래된 조그마한,사찰 이고,근처에 심포항 이 있어서 그곳까지 걸어서 산책도 하고 너무나  좋은 사찰. 강추 합니다.",4
망해사,4.2,Lee Khan,"신라 문무왕때  창건되었다고 하나 잘 알려지지 않은 작은 절집이다.
굴을 석화라고 하게된 유래가 이 절집의 스님 덕분이라니 재미있는 사실을 알게된 것이 여행의 즐거움이다.",2
망해사,4.2,힘키코모리,"조용허니 혼자 바다보면 여러생각하긴 좋음, 끝까지 차를 몰고 들어가면 헬이니, 화장실쪽 주차장에 주차코 가길 추천",4
망해사,4.2,권경희,머리 시키고 싶을때 찾아가면 좋을듯 바다와 근접이라 다양한 새들 보기도 좋고 노을 시간때 노을 보기도 좋아요,4
망해사,4.2,김휘철,"기대치보다는 사실감이 떨어짐. SNS상 지나친 홍보가 충분한 만족감을 감소시키는 느낌.
모르고 갔으면 나름 운치가 있는 장소와 풍경^^",3
망해사,4.2,GU GU,한적하고 경치좋은 절입니다. 스님이 드론비행에 예민하세요. 꼭 사전허가받으세요 ㅎ 조용히 절구경 경치구경하기 좋습니다,2
망해사,4.2,레나,"조그만 절인데, 경치는 아주 좋아요",4
망해사,4.2,김병수,한적하게 바람쐬기 좋아요,4
망해사,4.2,노병일,"업무차 다녀오긴 한곳, 사찰 앞 마당에서 고풍스런 소나무들 사이사이로 비추이던 서해안 바다가 일부인 뷰가 가을 정취에 취해 흥얼 거리는 곳",3
망해사,4.2,오상훈,일몰이 아름다운 장소,4
망해사,4.2,한봉수,잔잔한 바다와 갈대생태띠가  절안에소나무 느티나무와 어울려져  마음이 힐링되는것 같았어요.. 바람이 부드럽더이다..,5
망해사,4.2,양해련,"심포항으로 조개구이 먹으러
가는길머 들린곳.
바다를 바라보는 망해사.
잠시 큰 심호흡을 하고 싶게 느낀곳.",5
망해사,4.2,천년강물,"한적하고 좋아요

2022. 9. 11.
김제를 가면 늘 들릅니다.
갈 때마다 참 좋습니다..",5
망해사,4.2,gr85rok,광활한 이 모습 그대로 그냥 둡시다,5
망해사,4.2,여은석,아담하고 조용한 사찰이다.새만금 공사전엔 멋진 석양을 볼수있는 곳 이었는데....,4
망해사,4.2,이종예여행사진작가 시인,만경강 새만금 지구가 한눈에 들어오고 강건너 군산시 대야.회현.옥구지역이 보인다,5
망해사,4.2,한숙,한적한절간 조용해요,5
망해사,4.2,이강숙,"새만금 방조제가 생긴후
바다가 아닌 강가가 되었지만 탁트인 배경이
넘좋았다",4
망해사,4.2,김태윤,"강과 바다를 접하고 해송숲이 아름다운곳.

덤으로 지평선과 포구가 가까시 있음.",5
망해사,4.2,지민상,잠깐 다녀갔는데 넘 아늑하네요,5
망해사,4.2,m j,주변 환경이 좋아요 위로는 산책로 있어서 조아용,4
망해사,4.2,박현정,"망해사에서 바라보는 뷰는 정말 쵝오!!
조용하고 아담한 사찰..너무 좋아요",5
망해사,4.2,별빛메아리,노을이 아름다운 곳. 사람들이 적기에 나만의 일몰 장소로 괜찮은곳입니다,4
망해사,4.2,이사도,날씨 좋은날가면 뻥틔여좋을듯,5
망해사,4.2,Heungsoo Kim,김제 망해사는 서해의 낙조 명소,3
망해사,4.2,임영현,"코로나땜에 경내에 들어갈수없어요.
전망대에서 새만금을 조망할수 있네요.",3
망해사,4.2,문해란,망해사에서 바람을 느껴보세요,5
망해사,4.2,한진수,"조용하고 아늑하며
탁트인 전망에 갈대밭이 아름다워요",4
망해사,4.2,조약돌,전북 김제시 진봉면 심포리 망해사,5
망해사,4.2,Kim 김sung Yuel 성열,"아담하고 포근한 사찰
망해사앞이 바다
바라볼 망
바다  해
그래서 망해사라하네요",5
망해사,4.2,양말이,"해지는 풍경이 보기 좋은 작은 사찰
전망대 쪽도 좋다",4
망해사,4.2,김종수,"작고 조용하고 풍경좋고
만경강(?)보는 것도 운치 있습니다.",5
망해사,4.2,김기욱,"강가에있어 조용하고좋아요
산책로도좋구요",5
망해사,4.2,HWAJE WOO,서해바다를 볼수있어요,4
망해사,4.2,Drill,"진묵대사가 지은절
바다가 보이는 풍광이 차분한 사찰 입니다",5
망해사,4.2,최원석,"너무조용하고 아름다운사찰입니다...
아미타부처님이 계시는곳...
석화가 유래된곳...",5
망해사,4.2,후라슈,만경강 하류 습지 풍경이 아련한 느낌을 줍니다,5
망해사,4.2,공훈,"만경강 하류 끝자락의 자그마한 사찰
진묵스님이 지내신 사찰
가을 일몰이 너무 아름답다",4
망해사,4.2,Real신난다,"겹벚꽃과 심포항, 청보리가 어울어져 있는 곳 그리고 낙조가 아름다운 곳 입니다",3
망해사,4.2,김호준,바다가보엿는데 지금은육지로변해버렷어요 바다가강으로변햇어요,4
망해사,4.2,현기호,"조용한절, 해우소는 멀찍이 푸세식...풍광이 좋아요.",4
망해사,4.2,JJ An,진묵대사가 만든 절입니다. 경치가 좋은 역사문화재입니다.,5
망해사,4.2,Ssun Park,한적한 시골에 위치한 작은 절 조용하니 괜찮아요,3
망해사,4.2,elden,만경강 하류 서해 고군산일대 조망 일몰 명소,5
망해사,4.2,sangpil Kim,만경강과 옥구의 풍경이 너무  아름다운 곳입니다,4
망해사,4.2,이카루스의날개,일몰시간에 가보면 좋을거 같음요.,3
망해사,4.2,박세일,바다.고요함.나무.사진 사람이 읍써요 ㅠ,4
망해사,4.2,장길찬,전망대와 노을이 기가 막힙니다~ 좋아요~,5
망해사,4.2,고명희,"시절 탓인지,,인적 없는 분위기 탓인지,,무관심에 익숙한 듯한 애잔함과 쓸쓸함에 자꾸 뒤돌아보게 만든 곳",3
망해사,4.2,김성열,"아늑하고 푸근하네요
바로앞이 바다라 탁 트이고요",5
망해사,4.2,모세현,바다배경으로 이쁜 사진 찍기 좋은 곳,4
망해사,4.2,aisimasu 00,뷰가 독특한 곳,3
망해사,4.2,인싸곱창,경치도 좋고  공기가 말같습니다,5
망해사,4.2,Solidcat J,2015.03  .  낙조를 볼 수 있다.  차를 돌리기힘드니 주의.,3
망해사,4.2,이은석,바다를 바라보는 절에서 강(호수)을바라보는 절이 되어버린....,4
망해사,4.2,Jude,아담한데 바람이 너무 불어서 추움..,3
망해사,4.2,K. S. Lee,바다를 바라보는 절인데.. 이제는 바다가 안보임.,5
망해사,4.2,오희경,눈압에 펼쳐진 바다가 인상적입니다..,4
망해사,4.2,김영복,"전북 걷기길의 ""새만금바람길"" 코스에서 지나는 중에~~",2
망해사,4.2,Hduej So,낙조가 멋져요,5
망해사,4.2,오승봉,만경강 하류의 모습,4
망해사,4.2,최미선,조용하고 깨끗해요,5
망해사,4.2,Jonathan Choi,고즈넉한 산책 장소예요,5
망해사,4.2,sang keun noh,아늑하니 좋긴한데 별로 볼것은 없어요,3
망해사,4.2,배문홍,조용하고 소박하고 좋았어요.,4
망해사,4.2,Kisan choi,낙조가 넘 멋진 사찰입니다,5
망해사,4.2,John Prebyster,바다를 바라보며 진묵대사가 생각나는 망해사,4
망해사,4.2,free ton,전망좋은 새만금 줄기,3
망해사,4.2,이은희,사찰도문닫혀있고너무상막해보혓다,1
망해사,4.2,정동호,일몰이 좋아요,4
망해사,4.2,이인희,단하나 노을 촬영. 하나,1
망해사,4.2,창영,맑고 청량한 도량입니다,5
망해사,4.2,런닝러닝,주차가 좋습니다.,5
망해사,4.2,whanjong yim,노을이 고운 곳~,5
망해사,4.2,김성수,바다가 보이고 좋아부러,1
망해사,4.2,Zinnin,낙조가 멋지다고 하는 곳,3
망해사,4.2,박종기,망망대해에가 아니어서 조금 ! ! !,4
망해사,4.2,김헌중,마음이 편안한곳...,4
망해사,4.2,임선우,바다를 조망하는 절,4
망해사,4.2,윤지상,조용하고 좋숩니다.,5
망해사,4.2,이채명,드라이브 사진찍기,5
망해사,4.2,허인화,조용하고  한적합니다,4
망해사,4.2,강준선,경치가 좋음,4
망해사,4.2,한원영,더좋을 순 없다!,5
망해사,4.2,임진영,인적이 드문 곳,4
망해사,4.2,무성산,많이 실망함.,3
망해사,4.2,이성태,조아,5
망해사,4.2,박병준,벌초하고 가보니 음,5
망해사,4.2,Grey Yun,바람솔솔,4
망해사,4.2,김승철,경치 좋습니다,5
망해사,4.2,전원갑,절아라하기엔,1
망해사,4.2,한상옥,굿 명소,5
망해사,4.2,gookeun chung,꽤 큰 사찰이었다. 하지만 지금은 건물 몇 개만 볼 수 있고 여기서는 승려를 본 적이 없습니다.,4
망해사,4.2,Ang Moh Kui,"조용한 곳에 위치한 작은 불교 사찰입니다. 스님과 비구니들이 수행에 집중하는 것이 좋다고 확신하지만, 일반 관광객들에게는 너무 인상적인 곳이라기보다는 조용한 사색의 장소입니다. 전통 목조 건축물을 가까이서 볼 수 있는 기회",4
망해사,4.2,김다연,,5
망해사,4.2,kim심지,,4
망해사,4.2,안미영,,4
망해사,4.2,김현진,,5
망해사,4.2,joontae ko,,4
망해사,4.2,JONGHYUN LEE,,5
망해사,4.2,Eunae Hwang,,5
망해사,4.2,한창규,,5
망해사,4.2,최범민,,5
망해사,4.2,Hyung soon Lee,,4
망해사,4.2,김진기,,5
망해사,4.2,KH L,,4
망해사,4.2,許濱濱,,5
망해사,4.2,JuHyung Lee,좋은 곳,5
망해사,4.2,오승근,,5
망해사,4.2,yh park,,4
망해사,4.2,박윤기,,5
망해사,4.2,김선규,,5
망해사,4.2,Seok Tae Park (바삭구름),,3
망해사,4.2,휘김,,3
망해사,4.2,김기찬,,4
망해사,4.2,엄태상,,3
망해사,4.2,광산 김선철,,5
망해사,4.2,참소다,,4
망해사,4.2,한경일,,5
망해사,4.2,유보선,,5
망해사,4.2,นนทิชา นึกเว้น,,3
망해사,4.2,전석호,,5
망해사,4.2,김종환,,4
망해사,4.2,김초록별,,5
망해사,4.2,JY Cheon,,5
망해사,4.2,이승열,,4
망해사,4.2,SK YI,,5
망해사,4.2,이윤희,,4
망해사,4.2,야채수프,,5
망해사,4.2,안정익,,3
망해사,4.2,Otar,,4
망해사,4.2,황현구,,3
망해사,4.2,nilfisk nilfiskkr@gmail.com,,4
망해사,4.2,김지선,,5
망해사,4.2,석용주,,5
망해사,4.2,평화비둘기,,5
망해사,4.2,김규환 (동그라미),,5
망해사,4.2,김경수,,5
망해사,4.2,손성수,,4
망해사,4.2,최경희,,5
망해사,4.2,강길균,,4
망해사,4.2,mwlee,,4
망해사,4.2,양은숙,,5
망해사,4.2,SEIL SON (Kevin Rogers),,3
망해사,4.2,Song Eun,,4
망해사,4.2,김종민 (마당),,5
망해사,4.2,조기성,,3
망해사,4.2,서영호,,4
망해사,4.2,최재경,,5
망해사,4.2,모네,,4
망해사,4.2,해운대똥바람,,4
망해사,4.2,홍성용,,3
망해사,4.2,백년지기,,5
망해사,4.2,유재상,,5
망해사,4.2,SUNGWON RA,,5
망해사,4.2,JAE HO CHOI,,5
망해사,4.2,박진주,,5
망해사,4.2,임정훈,,4
망해사,4.2,오승윤,,4
망해사,4.2,이경채,,4
망해사,4.2,김진수,,3
망해사,4.2,송하이,,4
망해사,4.2,박수경,,5
망해사,4.2,김상배,,5
망해사,4.2,Bin,,4
망해사,4.2,이윤재,,1
망해사,4.2,박예환,,4
망해사,4.2,이미영,,4
망해사,4.2,곽명식,,4
망해사,4.2,박상우,,3
망해사,4.2,황흥연,,3
망해사,4.2,김태헌,,5
망해사,4.2,원소연,,5
망해사,4.2,tima,,4
망해사,4.2,장하영,,3
망해사,4.2,s36524124 s36524124,,4
망해사,4.2,권희택,,3
망해사,4.2,당근이지,,3
망해사,4.2,신윤석,,5
망해사,4.2,Jonghwan Park,,4
망해사,4.2,박은영,,4
망해사,4.2,노래M,,5
망해사,4.2,노장환,,5
망해사,4.2,전주비혼,,3
망해사,4.2,강대선,,4
망해사,4.2,안치우,,4
망해사,4.2,Show Show Kim,,5
망해사,4.2,김인호,,5
망해사,4.2,허진욱,,5
망해사,4.2,Lena,,4
망해사,4.2,이관헌,,4
망해사,4.2,남은인생 즐거운,,4
망해사,4.2,0_0 YH,,5
망해사,4.2,김철수,,4
망해사,4.2,유연희,,5
망해사,4.2,신일순,,5
망해사,4.2,DH Lee,,4
망해사,4.2,석원y,,4
망해사,4.2,기타맨,,3
망해사,4.2,홍순예,,5
망해사,4.2,김동일,,5
망해사,4.2,백철현,,5
망해사,4.2,조봉규,,5
망해사,4.2,주혜영,,3
망해사,4.2,고고광남,,5
망해사,4.2,이상남,,5
망해사,4.2,권영구,,3
망해사,4.2,김정화,,4
망해사,4.2,kris baik,,3
망해사,4.2,이연종,,5
망해사,4.2,춘서박,,5
망해사,4.2,오민식,,5
망해사,4.2,GWANGHYUN WON,,5
망해사,4.2,최성숙,,5
망해사,4.2,곽규안,,3
망해사,4.2,h,,3
망해사,4.2,중년신사BIKE,,3
망해사,4.2,김택길,,4
망해사,4.2,Vagabond Lee,,1
망해사,4.2,권란숙,,5
망해사,4.2,박재규,,5
망해사,4.2,K은진,,5
망해사,4.2,임장균,,2
망해사,4.2,조현준,,1
매창공원,4.3,남남,"부안 마실 축제를 이번주 까지 한다고 해서
토요일 저녁 급 출발 부안 올때 가끔 지나갔던 길이였는데
공원이 있었다는걸 처음 알았네요 ㅎㅎ
밤에는 아이들을 잘 데리고 나오지 않아서 반짝반짝 한다고
너무 좋아하네요
광장에서 음악이 크게 흘러 나오니 열심히 뛰면서 노는 아이들을 보니 흐뭇 하네요
집앞 작은 공원 느낌이였는데 꽤나 넓더라구요 ㅎㅎ
숲 체험  교육을 다니셨던 작은 아들은 솔방울 줍고다닌다고
정신이 없더라구요 ㅎㅎ
오랫만에 진짜 밤 마실 나와서 재미있게 놀다가 갑니다",5
매창공원,4.3,김혜경,"너무이뻐용 ^^^^.
아이들이 신나서 엄청뛰어노네용 ~
놀이터도잇어서~   낮에  놀이터로 놀러오기로햇어요~
낮에는 불빛이없어서 또~ 다른느낌이겟죠?~
매창공원이 엄청크더라구요 ^^^^
담에 킥보드가지고 또 놀러오자고하네요^^",5
매창공원,4.3,김미숙,"조선시대 아주 유명했던 기생 이매창의 묘와 시비가 있고 전북 부안군 부안읍 봉덕리에 위치 올해 부안 마실 축제 7회가 이곳에서 성황리에 열렸고 이 지역민들이 늘 산책, 운동하며 애용하는 곳임",5
매창공원,4.3,마실가족,밤에 불빛이 있어 아이들과 산책하고 공놀이 킥보드 자전거 타기 좋은 장소에요.축제기간이라 사람들이 많네요,5
매창공원,4.3,_JD 정상교 JUNG S K,매창공원 문화해설사님으로 부터 매창에 대해 해설을 상세히 들을 수 있어서 좋아요..  현장에서 요청하시면 무료로 해설 들을 수 있어요.,5
매창공원,4.3,Real신난다,마실축제로 조명을 설치해놓아 좋았어요. 일찍 소등되는 것이 아쉬웠지만요,3
매창공원,4.3,정현서,불빛축제 했어요 5월31일 까지라고 했는데 이쁩니다 엄마랑 데이트 했어요^^,5
매창공원,4.3,My K,"마실축제 점등이 기대되는 기간
봄꽃도 아름답고 아이들도 즐거웠던 시간",5
매창공원,4.3,이영재,조선의여류시인 매창의묘지와시비 기념관이있는매창공원,5
매창공원,4.3,신유진,"지금 조명 해놔서 너무 예쁘더라구요.
웬만한 빛축제는 저리가라능ㅡㅎ
가끔 버스킹도 해요.
볼거리, 놀거리가 한가득입니다ㅡ",5
