관광지이름,총점,이름,내용,별점
영모정,3.8,Productive Minho,"# 한번 쯤은 가볼만한 장소

협곡을 나지막이 흐르는 개울 위 정자 한 정이 운치있게 서있는 풍광이 꽤 멋진 곳입니다. 전국 아름다운 숲을 수상하기도 했어요. 여행 오시면 들러볼만 합니다. 진입로에 옛 비석들을 볼 수 있는데 임진왜란 당시 미계 신의련 선생에 관한 것들이에요.

내용에 의하면 동네에서 알아주는 효자로, 아버지가 왜군에게 붙잡히자 목숨을 내놓을테니 해하지 말라고 간곡하게 빌었다고 해요. 감명받은 왜장이 선생의 이름을 종이에 적고 불길에 던지며 점을 쳤으나 타지 않고 날아가니 하늘이 내린 효자라며 마을에 다른 왜군이 들어가지 못하게 했다고 합니다.

이에 따라 선생이 계신 마을에 가면 목숨을 건질 수 있다는 소문이 퍼져 5만명에 달하는 피란민들이 모여들었고 참화를 피했다고. 수많은 인명을 살린 신의련 선생의 인품을 높이 사 1869년 정자를 세운 게 오늘날의 영모정입니다.

제가 방문했을 땐 갈수기라 물이 얕았지만 여름에는 수심이 깊어져 영모정 앞 수영은 불가합니다. 영모정에서 정류장 방향으로 3분 거리에 형제격 정자인 미룡정이 위치해 있어요. 계곡 풍경이 아름다워 이곳도 들러볼만 합니다.

근처 갈만한 장소
- 탑사, 은수사, 탑영제 등 마이산 일대
- 만취정과 쌍계정, 운교리삼각주퇴적층
- 수선루와 구산서원
- 내동산폭포",4
영모정,3.8,TH K (Kr),,4
영모정,3.8,Kwangnam Kim,,5
영모정,3.8,김동환김동환,,4
영모정,3.8,백행용,,2
영월암(장수),5.0,오얏나무동쪽의 기인,"1년에 한번이상은 꼭 들르는 곳입니다. 마음을 다잡는데 좋은곳이죠. 친절하신 스님도, 금강(개)이도 점점 매년 나이를.... 청주에서 영월암까지는 멀긴 멀죠. ㅋㅋ 특히 저에겐 힘든 운전이구요..   각설하고 또 뵈러 갈께요..  뚜뚜 수민하고 같이요.",5
영월암(장수),5.0,꼬막크루,절에 커다란개가 한마리있는데 사람엄청잘따르고 순해서 짖지를아니함.스님보살님 모두좋으신분들,5
영월암(장수),5.0,박도유,,5
영월암(장수),5.0,문철배 (달공당 지한),,5
영월암(장수),5.0,정춘봉,,5
영천사,5.0,이임성,"김제시 황산동 영천사 입니다 (태고종 영천사)
영천사 스님이 두분이 계시는데 주지 스님에 법명이 현법 스님 입니다 그리고 무해 스님도
계십니다 두분이서 영천사를 운영하십니다
영천사는 넓은 도량고 주차시설도 깨끗하게
운영하시고 넓은 도량에 만은 계절에 꽃들과
앞 마당에는  여러가지들에 화초도 있읍니다
현법스님과 무해스님 두분이 도력이 깊은지 여기에
오시는 불자님들이 기도와 스님들에 축원으로
불자님들이 좋아 졌다고 하시네요 ~~^^              한번 오시면 꼭 다시오셔서 부처님를 찾읍니다
영천사를 오시면 스님들과 대화를 나누어 보세요
스님들에 도력과 차 한잔에 깊은 시름을 내려 놓고
집으로 돌아가실것 입니다
구경삼아 영찬사를 한번  들려  보세요 ~~~^^",5
영천서원,3.7,안태현,기묘명현이신 사제당 안처순을 주벽으로 회산 정환 유헌 정황 활계 이대유 네분선비의 학덕을 기리는 유서깊은 서원입니다 . 사액당시에 남원48방중 하나인 지사방에위치하며 남원지방30개서원중 최초로 사액을 받은 서원이며 2019년이 창건400주년이되엇네요,5
영천서원,3.7,백순,사람이 없어 좋았다,4
영천서원,3.7,TH K (Kr),,5
영천서원,3.7,한강희,,3
영천서원,3.7,김광옥,,4
영천서원,3.7,안선화,,1
예종대왕태실 및 비,4.5,엄영태,한번쯤 가볼만 하다,4
예종대왕태실 및 비,4.5,Yu-Ting,아름다운 정원이다,5
옛 군산세관,4.0,Jinkyung Kim,옛날 세관의 모습을 구경할 수 있습니다! 무료로 역사를 볼 수 있어요! 추천합니다!,4
옛 군산세관,4.0,이디링딘,여기는  놀랄만한건  직원분들이  역사 배경지식이 너무 많다는걸 알 수 있음 .  직원분께 여기 들어가는거 맞냐규 물었을 뿐인데  옛군산세관의  유래부터 말씀해주심 .  전국에는 현재 3군데 있다면서  말씀주시는데 뭔가 들으면 우리나라가 자랑스러움 .  해당 박물관 내에 흔히 도시에서는 볼수없는  가치를 평가할수 없을 정도의 귀한 물품들이 전시해 있는데 하나하나 보면  너무멋있음  특히  타임캡슐  있는데  타임캡슐 개봉일에  개봉한 내용물도 전시하고 영상으로 남겨두면  좋을꺼같더는 생각임. 고 로 개봉일에 난 다시 방문할것임,4
옛 군산세관,4.0,opopoper,"옛군산세관을 전시관의 형태로 관람 할 수 있는 장소입니다.
과거 세관의 관점에서 바라보는 군산의 역사를 체험하고 관람 할 수 있어 흥미로웠습니다.
시내는 여름에도 쾌적하게 관리되어 있었습니다.

직원분은 12:00~13:00 시간에는 점심시간으로 부재중인 상황이 있었습니다.",5
옛 군산세관,4.0,달달구리,현재 세관옆에 바로 옛날 세관이 같이 자리하고 있는데 관광객이 끊임없이 오더라구요. 세관에서 어떤 물건을 통과시키고 걸러내는지도 많이 알게 되었네요ㅎ 시대별로 불법으로 들여오는 물건들도 다르고 신기했어요,3
옛 군산세관,4.0,지성미,"일제시대의 군산세관
너무 아기자기하고 예쁜 건축물입니다
창문하나 창틀하나 무엇하나 신경쓰지 않은 곳이 없군요.성의있는 건축가 작품입니다
지붕또한 눈이 쌓여있으니 더 운치있습니다
100년전 아픈역사지만
지금은 찾아볼수없는 느낌좋은 건물입니다
놀랍습니다",5
옛 군산세관,4.0,Changjin Ji,사람 없는 시간에 가서 천천히 둘러보기 좋았습니다. 앞보다 뒤가 더 예뻤던 기억이 납니다. 카페는 그닥 특별한 게 없어서 그냥 둘러보고 나와서 좀 더 걸었습니다. 근처에 볼거리가 많습니다.,5
옛 군산세관,4.0,어떠노 (어떠노),"1908년 대한제국의 자금으로 건립되었다. 서양식 단층 건물로 준공 당시 많은 부속 건물이 있었으나 현재는 모두 헐리고 본관건물만 남아있다. 전체적으로 유럽의 건축양식을 융합한 근대 일본건축의 특징을 지니고 있으며, 국내 현존하는 서양 고전주의 3대 건축물 중 하나이다.
역사공부도 하고 여러모로 좋았어요.",3
옛 군산세관,4.0,수을이,"평소에는 안에도 볼 수 있었던것 같은데 코로나 예방차원에서 현재는 문을 닫아놓은듯
사진찍기도 좋고 사람도 많지 않음 (안 열어서 그런건가?)

옆에 카페도 있는데 카페도 예쁨.. 대신 커피가격은 아주 쪼오오끔 비쌈",4
옛 군산세관,4.0,최윤미,"군산 옛건물들이 참 예쁘구나.
특히나 나랏돈으로 관리하니 관리가 참 잘 된 건물이구나 싶었던 곳
우측으로 돌아 들어가면 군산 세관에 관련된 자료들이 전시되어있어 초등학생 정도의 아이들과 구경해도 좋겠다 싶었다.
박물관 안 좋아하지만 옷이나 뱃지같은데는 관심있어서  제복을 전시한곳에서는 한참 관람했다.",4
옛 군산세관,4.0,sol,세관을 배경삼아 사진 한컷 추천. 세관 안쪽에 자리한 인문학창고 정담에서 커피한잔.먹방이와친구들 케릭터도 좋아요.걸어서 이성당도 들려보세요(이성당 줄은 단팥빵 줄이니 다른빵 드실분은 줄무시 입장 고르세요),5
옛 군산세관,4.0,이족보행곰,"조그마한 박물관이지만 꽤나 알차게 전시품들이 채워져 있습니다. 전직 세관원이신 부모님과 함께 하며, 추억여행을 하기엔 충분한 정도였습니다. 주차도 크게 어렵지 않고, 여름엔 덥지 않을 정도로 에어컨도 나옵니다.",4
옛 군산세관,4.0,라후파,"건물 정말 예쁘네요. 서울역사,한국은행과 더불어 국내에 현존하는 근대초기 3대 건축물 중 하나라네요
옆문으로 들어가면 작은 박물관으로 간략한 설명과 약사가 있네요",5
옛 군산세관,4.0,Seok-Hun Kim,"앞건물이 다인줄... 근대건축물이라길래 앞쪽인줄알았는데
안쪽에 인문학 카페가 따로있네요. 카페 메뉴가격은 일반카페정도이고,
책들이 꽤 많아서 읽어보며 시간 보낼수 있는 좋은 공간이네요.
여행스케쥴이 빡빡해서 크게 즐기지는 못하고 아이들 기념품만 샀는데
살짝 상술 느낌인건 어쩔수 없나봅니다.
여튼 어디에서 볼수없는 독특한 공간이라 기분좋게 둘러보고왔습니다.
덤으로 앞 벤치에서 집사로 간택당할뻔... 했습니다.^^",5
옛 군산세관,4.0,구은서,"20171023, 오후4시30분 방문
군산 근대사 건물 중 가장 아름다웠다
현재 호남세관박물관으로 사용
내부 전시물은 허술",4
옛 군산세관,4.0,Hwany Kong,"지난번에는 외관만 봤는데, 이번에는 내부 관람이 가능했습니다. 흥미로운게 많아요",5
옛 군산세관,4.0,오동동 (Catalina),"안에는 밀수품, 짝퉁 이런 게 전시 돼있고, 세관장 의상 체험(무료) 할 수 있는 공간이 있어요.
세관건물 옆에 컨테이너 건물은 인문학 창고 정담이라는 카페가 있어요! 생긴지 얼마 안 됐다는 데, 엄청 예쁘고 커피랑 마카롱도 저렴하고 맛있어요! 군산 캐릭터 먹방이랑 친구들도 볼 수 있어요!",3
옛 군산세관,4.0,Younsok Choi,"큰 기대하지 않고 가볍게 들르기엔 나쁘지 않습니다. 근처에서 밥먹고 소화시킬 겸 들르시길.
입장은 무료.",3
옛 군산세관,4.0,KJ LEE,"- 사적 제545호

- 1908년 준공 / 서울역사, 한국은행본점
건물과 더불어 국내 현존하는 서양 고전
주의 3대 건축물 중의 하나이다.",4
옛 군산세관,4.0,모야모,일제강점기 세관건물로 지금은 당시를 엿볼 수 있는 무료박물관으로 쓰인다.,4
옛 군산세관,4.0,채널CGV,군산에서 사진 제일 잘나오는곳,5
옛 군산세관,4.0,Woohyun Jo,"전라남도 군산시에 위치해 있다. 옛군산 세관으로 이용되었다고 한다. 현재는 작은 박물관으로 이용중이다.

근대시대 건축물 답게 붉은 벽돌과 창틀에서 특유의 우아함이 느껴졌다. 또 고풍 스러운 지붕은 일본 소나무인 히노키를 사용했다고 한다.

사진럼 외관은 훌륭했지만, 내부 전시는 터무니없이 형편없었다. 기본적으로 명확한 주제성이 없었다. 분명 옛 세관건물이지만 뜬금 없는 스타벅스 커피, 가품 시계, 양주, 짝퉁 레고 등등이 전시되어있다.

우리나라에 얼마 없는 근대 유산이며, 아픈 일제강점기 역사를 담고있다면 그만큼 소중히 보존하며 기억해야 되지않을까?

훌륭한 건축물 속 상반된 공무원들의 아니한 전시 계획은 실망감과 비웃음을 만든다.",3
옛 군산세관,4.0,최쩨리,건물 내부는 넓지 않으나 알차게 전시 되어 있었습니다,4
옛 군산세관,4.0,Shinho Lee,"대한제국(순종 2년 6월)에 만들어졌으며 당시 전하는 말에 따르면 불란서 사람 혹은 독일 사람이 설계하고 벨기에에서 붉은 벽돌과 건축자재를 수입하여 건축했다는 설이 있다. 군산세관은 많은 부속건물이 있었으나 현재는 모두 헐리고 본관건물만이 남아 있으며, 국내에 현존하는 서양고전주의 3대 건축물 중의 하나로 현재는 호남관세전시관으로 활용되고 있다. 1905년 기울어가던 대한제국의 자금으로 시작된 제1차 군산항 축항공사기간 (1905~1910) 중인 1908년 6월에 만들어졌다. 서양식 단층 건물로 건평은 약 69평이었다. 건물의 지붕은 고딕양식이고 창문은 로마네스크 양식이며 현관의 처마를 끄집어 낸 것은 영국의 건축양식으로 전체적으로 유럽의 건축양식을 융합한 근세 일본 건축의 특징을 지니고 있다. (출처: 군산시 문화관광 홈페이지)",5
옛 군산세관,4.0,JH Jang,그냥저냥 지나가면서 볼만한 곳 무료이다,3
옛 군산세관,4.0,Steve Byeol,"1899년 군산을 개항한 조선정부는 인천세관의 지사로 군산에 세관을 설치하고 수출입 세관업무를 보도록 했는데, 1908년에 지금의 청사 건물을 갖추게 되었다. 본관 건물은 벨기에에서 수입한 붉은 벽돌과 대리석을 가지고 독일인 건축가가 설계했다고 알려져 있다. 지붕은 고딕 양식, 창문은 로마네스크 양식이며 현관의 처마를 끄집어 낸 것은 영국식으로 전체적으로는 유럽의 건축 양식을 융합한 근대 일본 건축의 특징을 지니고 있다. 특히 물고기 비늘 모양의 슬레이트 지붕 위에 3개의 첨탑이 솟아 있는데, 이러한 건축 양식은 서울역사, 한국은행 본점과 함께 현재 우리나라에 3개만 남아있는 서양 고전주의 3대 건축물 중의 하나라고 한다. 내부는 가운데 홀을 기준으로 양쪽에 방들이 있는데, 창문이 많아 일본 건물의 특징을 느낄 수 있다. 현재는 세관으로 사용될 당시 소품들이 전시되어 있는 호남관세박물관으로 활용되고 있다.",5
옛 군산세관,4.0,Chris hong,"볼건 없더라
일제시대 부정부패의 온상이였을거 같은 느낌만 받고 왔음",2
옛 군산세관,4.0,Gunwoo Kim,옛군산세관건물. 붉은벽돌건물,5
옛 군산세관,4.0,이선종 (Andreas Lee),"군산 근현대사를 볼수 있는 시작점 입니다. 주차로 가능하고, 권역 안에 카페도 좋아요 ~",5
옛 군산세관,4.0,Sana Hyon,"한국의 슬픈 근대사를 잘 전시해 놓은 군산 근대사 박물관 옆에 위치 하여 군산을 방문 한 사람이라면 군산 세관을 배경으로 사진을 찍기에 좋은 곳.
무료 공용주차장이 있어 주차걱정 없음.",4
옛 군산세관,4.0,Jaewon Yun,작지만 내부에도 관람할 것들이 이것저것 있음,4
옛 군산세관,4.0,babastobi,군산세관과 세관업무에 관한 자료가 있는 작은 박물관,3
옛 군산세관,4.0,Changhan Lee,"비록 코로나19로 인하여 내부관광은 안되었지만, 옛날 일제강점기 때의 건축물 그대로 관리가 잘 되고있네요. 아픈 역사이긴 하지만, 산책하면서 한번즈음 방문해보기엔 좋아요!",5
옛 군산세관,4.0,정Steven,100년이넘게 자리를 지켜온 근대건축물,3
옛 군산세관,4.0,JaeHyun Lee,"옛날 세관을 박물관으로 하여

잘 꾸며놓았다.

코스프레도 가능하고,
옛날 세관도 느껴보면서~

옆에있는 군산 박물관온김에 와보기 좋은곳",5
옛 군산세관,4.0,Changho Paeon,"코로나 때문에 내부 방문을 못해 아쉽네요.
아기자기하고 이뻐요  건물 오른쪽 뒤로 돌아가시면 창고를 카페로 개조한 곳도 있는데 괜찮습니다.",4
옛 군산세관,4.0,mw cho,관세 행정 관련 물품이 전시 되어 있는데 정말 볼것은 별로 없습니다 지나가다 어 박물관이 있네 오래된 역사가 있는 박물관이네 라고만 생각 하시면 좋을것 같아요,2
옛 군산세관,4.0,guide man,- 옛군산세관은 내부도 관람이 가능함. 지금은 호남관세전시관으로 쓰이고 있음. 내부는 10~20분 정도면 둘러볼 수 있음.,3
옛 군산세관,4.0,JUNO BEA,"군산세관박물관
세관의 역사를 볼 수 있으며,
세관에서 하는 일들도 볼 수 있음.

무료 관람이 가능
주변에 근대역사박물관이 바로 위치하고 있음",3
옛 군산세관,4.0,SungWon Hong,건축물이 신기했고(군산 구도심이라 그런지 주변도 그렇고) 밀수품이 전시되있어서 흥미로웠습니다 ㅎㅎ,5
옛 군산세관,4.0,NaYoung Lee,독특한 건물 보러 가볍게 가기에 좋음,4
옛 군산세관,4.0,Hyosung Baik,"볼거리가 그리 많지 않았지만 정성껏 정리하고 홍보하는 듯.
역사적인 의미 만으로 잘 보관되었다는 것에 별 많이 드립니다.",4
옛 군산세관,4.0,HyunSoo Joe (블루라이더),옛모습을 간직하고 있는 건물 이에요.,4
옛 군산세관,4.0,Alie핑크,"주차장이 여러군데로 분산되어있으니
잘 찾아들 가시길.
근현대박물관가려고 이곳 주차장 이용했어요.",5
옛 군산세관,4.0,홍성한SEONG HAN HONG,22년6월5일 현재 공사중. 옆의 근대역사박물관도 내부공사중. 마감기일 미정.,3
옛 군산세관,4.0,DOKYU KO,"카페와 책들이 비치되어있고, 기념품을 팔고 있는데 가격이 싸지는 않네요~",3
옛 군산세관,4.0,Daehee Lim,세관으로 사용되던 건물을 활용한 역사관. 한번쯤 가볼만 함,5
옛 군산세관,4.0,byung cho so,한국에서는 보기 힘든 대한제국 말기의 건물. 다행히 일제하에서 지어진 건물이 아니다. 내부도 볼만하다.,4
옛 군산세관,4.0,김민성,조금 특이하고 좋아요.,4
옛 군산세관,4.0,감자그라탕,내부에 일제의 수탈 관련 사진자료들이 전시돼 있음. 주변 경관 관리가 되면 더 좋겠네요,4
옛 군산세관,4.0,michael Jeong,조세박물관으로 운영되고 있음,3
옛 군산세관,4.0,홍바람,우리나라의 근대사를 돌아볼수 있어좋았고 밀수품의 변천사를 보면서 우리나라의 발전상과 대비해서 보는것도 흥미 있었습니다,4
옛 군산세관,4.0,정병철,"그냥 옛건물, 문이 잠겨있어 지금(코로나시기)은 가보는 의미가 없음",3
옛 군산세관,4.0,째리째리,근대역사박물관 옆에 있어요 건물 예뻐요,5
옛 군산세관,4.0,보라돌이,의미 있으나 그냥 일본식 건물.건너편엔 박물관. 있습니다.,1
옛 군산세관,4.0,김태형,전시물이 많지 않지만 역사유적으로 잘 구경함,4
옛 군산세관,4.0,혜지니,영화 밀수 스토리 이해하기 쉬워요~ㅎㅎ,5
옛 군산세관,4.0,김중용,잘 보존되어 근대건축물 중 하나로 활용도가 좋음,4
옛 군산세관,4.0,임상우,좋아요  군산여행은여기서출발시작으로하세요,5
옛 군산세관,4.0,JD,세관업무가 뭔지 아이들이 알 수 있고 역사도 느낄 수 있음,4
옛 군산세관,4.0,임종윤,근대 문화유산이 잘 보존되어 있다,5
옛 군산세관,4.0,이정임,새로운겨험이었어요,4
옛 군산세관,4.0,김도영,색감이 예뻐 사진찍기에 좋은 곳입니다,5
옛 군산세관,4.0,Sojin Kim,같이 구경하기에 딱 좋은 유적벨트.,4
옛 군산세관,4.0,K. S. Lee,사진 찍으면 재미있음. 안에 사진 포인트들이 있음..,5
옛 군산세관,4.0,Kevin On,입장이 안되서 안쪽을 볼수 없어요,4
옛 군산세관,4.0,Da Nam,아직 공사중이라서 진입이 불가합니다,3
옛 군산세관,4.0,진동호,"건물은 좀 특이함..
그냥 그럭저럭",3
옛 군산세관,4.0,Sang Hoon Kim,일제 건물 관광의 한부분,4
옛 군산세관,4.0,Hwan-Yong Choi,근대문화유산의 대표 건물입니다,5
옛 군산세관,4.0,양경희 (퀴리부인),밥먹고 잠시들르기 좋은 작은 관광스팟,5
옛 군산세관,4.0,나태화,연인들 데이트코스로 조용하고 좋음,5
옛 군산세관,4.0,강의식,장사를 하고잏어 들어가는것은 힘들어요,2
옛 군산세관,4.0,헬로모모,사람적지만 작아도 볼거리 가득,5
옛 군산세관,4.0,독고다이,오매맛있는족발 맛있어요,5
옛 군산세관,4.0,박민환,친절한 해설사 꽤 알찬 볼거리,4
옛 군산세관,4.0,임형욱,이쁨과 기쁨,5
옛 군산세관,4.0,박용,살포시 군산여행,5
옛 군산세관,4.0,김민,짬뽕 탕수육 맛있어요,4
옛 군산세관,4.0,Jaehyung Park,곡식 수탈의 아픈 역사 현장.,5
옛 군산세관,4.0,천승재,겉모습이 예뻐요!,3
옛 군산세관,4.0,장연웅,"신,구세관~^^",5
옛 군산세관,4.0,Sahdo Lee,공사중 볼수없었음,1
옛 군산세관,4.0,mj lee,그냥 사진과 동일,3
옛 군산세관,4.0,Seong-Min Hong,아이들이랑 오면 좋을듯,3
옛 군산세관,4.0,marina kwon,굿,5
옛 군산세관,4.0,정차장,재미있었어요,4
옛 군산세관,4.0,HanS,밤에 분위기 있음,3
옛 군산세관,4.0,Song Hak Lim,건축미 간직한 유물,5
옛 군산세관,4.0,김성민,좋아요,4
옛 군산세관,4.0,야생남매,어린시절로 돌아가다,4
옛 군산세관,4.0,박쁘니,멋져요,5
옛 군산세관,4.0,김영희,재밌었어요,4
옛 군산세관,4.0,이경우,별로....,3
옛 군산세관,4.0,Gagas Lambang Pamungkas,신세관 바로 옆에 있는 구세관.,5
옛 군산세관,4.0,Tuul_ asme,시간여행... 🙌…,5
옛 군산세관,4.0,Kang운석,,5
옛 군산세관,4.0,MAMI NARITA,,3
옛 군산세관,4.0,표영길,,4
옛 군산세관,4.0,Bokeun Lee,,3
옛 군산세관,4.0,Sadik “Magic Mandy” Bhattarai,좋은,5
옛 군산세관,4.0,Woojin Kim,,4
옛 군산세관,4.0,너와나,,5
옛 군산세관,4.0,DoYoung Lee,,4
옛 군산세관,4.0,이금옥,,5
옛 군산세관,4.0,Seunghwan KIM (Cold feet Tiger),,4
옛 군산세관,4.0,stone cold,,3
옛 군산세관,4.0,Ku Hwan Choi,,5
옛 군산세관,4.0,MAD MAX (MAD),,4
옛 군산세관,4.0,유창열,,2
옛 군산세관,4.0,지우,,5
옛 군산세관,4.0,강태훈,,3
옛 군산세관,4.0,고봉남,,1
옛 군산세관,4.0,정현정,,4
옛 군산세관,4.0,뚜벅이,,5
옛 군산세관,4.0,이동건,,3
옛 군산세관,4.0,사랑찐희재,,5
옛 군산세관,4.0,이연,,4
옛 군산세관,4.0,불끈별,,3
옛 군산세관,4.0,joonhyuck seo,,4
옛 군산세관,4.0,홍석윤,,5
옛 군산세관,4.0,김일주,,3
옛 군산세관,4.0,금0,,3
옛 군산세관,4.0,miwooch,,4
옛 군산세관,4.0,김본래무일물,,5
옛 군산세관,4.0,홍윤철,,4
옛 군산세관,4.0,조원종,,5
옛 군산세관,4.0,Sungcheul Ahn,,4
옛 군산세관,4.0,영보김,,3
옛 군산세관,4.0,Peter Kim,,4
옛 군산세관,4.0,변인섭,,4
옛 군산세관,4.0,홍현수,,3
옛 군산세관,4.0,이종완,,3
옛 군산세관,4.0,GilbertKSS,,5
옛 군산세관,4.0,Yeji Jang,,5
옛 군산세관,4.0,손재섭,,3
옛 군산세관,4.0,양용규,,5
옛 군산세관,4.0,소소한행복,,4
옛 군산세관,4.0,kyungon CHA,,5
옛 군산세관,4.0,이희순,,5
옛 군산세관,4.0,양정아,,5
옛 군산세관,4.0,노비꽃,,5
옛 군산세관,4.0,Genevieve kim,,4
옛 군산세관,4.0,조원재,,3
옛 군산세관,4.0,Dmitri Tuzlukov,,5
옛 군산세관,4.0,YOOMIN LEE,,3
옛 군산세관,4.0,Carter yoo,,5
옛 군산세관,4.0,Kang Young Seok,,5
옛 군산세관,4.0,Jongsoo Park,,5
옛 군산세관,4.0,홍강선,,4
옛 군산세관,4.0,冰冰,,5
옛 군산세관,4.0,Peter Choi,,5
옛 군산세관,4.0,Lee,,5
옛 군산세관,4.0,하누돈판매센터,,4
옛 군산세관,4.0,강길남,,5
옛 군산세관,4.0,유지영,,5
옛 군산세관,4.0,빼다지,,5
옛 군산세관,4.0,최희원,,5
옛 군산세관,4.0,김은정,,5
옛 군산세관,4.0,이성호,,1
옛 군산세관,4.0,하누미,,3
옛 군산세관,4.0,김준필,,4
옛 군산세관,4.0,vop12,,5
옛 군산세관,4.0,JUNTAK JANG,,4
옛 군산세관,4.0,홍성구,,5
옛 군산세관,4.0,1&2 hdh,,5
옛 군산세관,4.0,오영은 (우산),,5
옛 군산세관,4.0,이태웅,,5
옛 군산세관,4.0,gimyhya@yahoo.co.kr김영호,,4
옛 군산세관,4.0,MinHo Kim,,4
옛 군산세관,4.0,김진수,,3
옛 군산세관,4.0,쿠키파파,,3
오괴정,5.0,오세호,,5
오리정,4.2,정찬국,"춘향전에서  부친따라 한양가는
몽룡이와 춘향이가  이별했다는
남원17번국도 바로 옆에  있는
작은 공원안의  이층정자.
지도에서 확인하면   오리정휴게소에
차를 세우거나   근처 교차로를 지나
도로옆에   갓길공간이  있다.
춘향이 흘린 눈물이 고였다는  연못도  있고
조금 북쪽에 춘향고개(박석치) 도 있다.

예전  17번 도로가 좁고 비포장일  때는
이곳이  이별의 장소로 괜찮아 보였으나
지금의 도로현황으로는  이  오리정(오리정)은
조금 시끄럽다.

소설속의 장소이긴하며
지나가다   보면 별게 아닐  수도 있지만
이별의 장소라는 것이
묘한  느낌으로  다가올  수도  있다.",5
오리정,4.2,김용두,"확트인 공간건너편에 이도령과 춘향이가 헤어지던 오리정이라는 2층정각과 연꽃이심어진 자그마한 연못이 있고, 연못주변으로 아담한 산책로가  걷지않을수없게 유혹을 합니다
휴게소 마당이 널직하여 주차하기에 넉넉합니다
한식부페가 있고,
부페옆으로 골동품매장이 있는데 경매까지 겸하는 만물상골동품 매장이있습니다
주유소도 널직하고 시원스럽게 3열이 배열되어있네요",5
오리정,4.2,주대식,쾌궐춘향 촬영할때 구경했어요,4
오리정,4.2,Jeong Doo Lee,,5
오리정,4.2,윤경환,,5
오리정,4.2,소마지소재명,,1
오목대와 이목대,4.2,national_jiographic,"전주 한옥마을을 내려다볼 수 있는 낮은 언덕입니다. 올라가는데 딱히 힘들지는 않습니다만, 앞에 나뭇가지들이 있어서 훤히 보이지는 않습니다. 단, 주변 산책로가 잘 되어있어서 한옥마을을 내려다보기 좋습니다.

이 장소의 특징은 전주 이씨로 조선왕조를 세운 태조 이성계와 관련된 일화가 있는 역사적인 장소입니다. 전주한옥마을 바로 인근에 위치하고, 뒷길로도 나가서 구경할 수 있으니, 전주한옥마을을 방문하신 분들은 500년 창업군주의 기운을 받아가세요. 단, 건물과 볼거리 자체는 많지 않고 산책삼아 가는 곳입니다.",5
오목대와 이목대,4.2,SungKun Lee,"1380년 이성계 장군이 남원 황산 전투에서 승리한 후 돌아가던 중 이곳에서 승전 축하잔치를 하였다.
지금은 쉼터로 변하여 어름철 주민과 여행자들이 편하게 쉬는 곳이 되었다.
밤에 올라오면 전주 한옥마을 야경을 감상할 수 있다.",5
